name,position,team,fumbles,ints,pass_td,pass_yds,rec_tds,rec_yds,carries,rush_td,rush_yds,pts_std,pts_half,pts_ppr
Aaron Rodgers,QB,GNB,0.0,0.0,5.0,429.0,0.0,0.0,2.0,1.0,6.0,43.76,43.76,43.76
Matt Schaub,QB,ATL,0.0,0.0,1.0,65.0,0.0,0.0,1.0,0.0,-1.0,6.5,6.5,6.5
Mike Glennon,QB,OAK,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,5.44,5.44,5.44
Kirk Cousins,QB,MIN,0.0,0.0,4.0,338.0,0.0,0.0,4.0,0.0,-3.0,29.22,29.22,29.22
Jacoby Brissett,QB,IND,1.0,0.0,4.0,326.0,0.0,0.0,5.0,0.0,6.0,27.64,27.64,27.64
Patrick Mahomes,QB,KAN,0.0,0.0,1.0,76.0,0.0,0.0,1.0,0.0,2.0,7.24,7.24,7.24
Ryan Tannehill,QB,TEN,0.0,1.0,2.0,312.0,0.0,0.0,5.0,0.0,7.0,19.18,19.18,19.18
Derek Carr,QB,OAK,1.0,1.0,2.0,293.0,0.0,0.0,2.0,0.0,0.0,15.72,15.72,15.72
Johnny Hekker,ERROR CHECK ME,LAR,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.92,0.92,0.92
Brett Kern,ERROR CHECK ME,TEN,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.44
Matthew Stafford,QB,DET,0.0,1.0,4.0,364.0,0.0,0.0,0.0,0.0,0.0,28.56,28.56,28.56
Josh Allen,QB,BUF,0.0,0.0,2.0,202.0,0.0,0.0,4.0,0.0,32.0,19.28,19.28,19.28
Philip Rivers,QB,LAC,0.0,0.0,2.0,329.0,0.0,0.0,0.0,0.0,0.0,21.16,21.16,21.16
Teddy Bridgewater,QB,NOR,0.0,0.0,2.0,281.0,0.0,0.0,4.0,0.0,7.0,19.94,19.94,19.94
Dak Prescott,QB,DAL,0.0,1.0,1.0,239.0,0.0,0.0,5.0,1.0,30.0,20.56,20.56,20.56
Jared Goff,QB,LAR,0.0,0.0,2.0,268.0,0.0,0.0,3.0,1.0,3.0,25.02,25.02,25.02
Case Keenum,QB,WAS,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,3.08,3.08,3.08
Matt Moore,QB,KAN,0.0,0.0,1.0,117.0,0.0,0.0,1.0,0.0,-1.0,8.58,8.58,8.58
Ryan Fitzpatrick,QB,MIA,0.0,1.0,1.0,282.0,0.0,0.0,6.0,1.0,13.0,20.58,20.58,20.58
Mitchell Trubisky,QB,CHI,0.0,0.0,2.0,251.0,0.0,0.0,0.0,0.0,0.0,18.04,18.04,18.04
Gardner Minshew,QB,JAX,0.0,0.0,1.0,255.0,0.0,0.0,9.0,0.0,48.0,19.0,19.0,19.0
Deshaun Watson,QB,HOU,0.0,2.0,1.0,308.0,0.0,0.0,3.0,0.0,32.0,15.52,15.52,15.52
Carson Wentz,QB,PHI,2.0,1.0,1.0,191.0,0.0,0.0,4.0,0.0,12.0,6.84,6.84,6.84
Tom Brady,QB,NWE,0.0,1.0,1.0,249.0,0.0,0.0,0.0,0.0,0.0,11.96,11.96,11.96
Joe Flacco,QB,DEN,1.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,6.52,6.52,6.52
Daniel Jones,QB,NYG,2.0,1.0,1.0,223.0,0.0,0.0,4.0,0.0,35.0,10.420000000000002,10.420000000000002,10.420000000000002
Kyler Murray,QB,ARI,0.0,0.0,0.0,104.0,0.0,0.0,10.0,0.0,28.0,6.96,6.96,6.96
Lamar Jackson,QB,BAL,0.0,0.0,0.0,143.0,0.0,0.0,14.0,1.0,116.0,23.32,23.32,23.32
Russell Wilson,QB,SEA,0.0,1.0,1.0,241.0,0.0,0.0,3.0,0.0,27.0,14.34,14.34,14.34
Matt Ryan,QB,ATL,1.0,1.0,0.0,159.0,0.0,0.0,1.0,0.0,2.0,2.5600000000000005,2.5600000000000005,2.5600000000000005
Jimmy Garoppolo,QB,SFO,0.0,1.0,0.0,151.0,0.0,0.0,4.0,0.0,20.0,6.039999999999999,6.039999999999999,6.039999999999999
Andy Dalton,QB,CIN,0.0,3.0,1.0,276.0,0.0,0.0,4.0,1.0,33.0,18.34,18.34,18.34
Zach Pascal,WR,IND,0.0,0.0,0.0,0.0,2.0,106.0,0.0,0.0,0.0,22.6,25.6,28.6
Sam Darnold,QB,NYJ,1.0,4.0,0.0,86.0,0.0,0.0,2.0,0.0,-1.0,-6.66,-6.66,-6.66
Dalvin Cook,RB,MIN,0.0,0.0,0.0,0.0,0.0,7.0,25.0,2.0,142.0,26.9,27.4,27.9
