,name,pos,team,url
23,New York Jets,DST,NYJ,https://www.fantasypros.com/nfl/games/new-york-jets-defense.php
35,Minnesota Vikings,DST,MIN,https://www.fantasypros.com/nfl/games/minnesota-defense.php
37,Baltimore Ravens,DST,BAL,https://www.fantasypros.com/nfl/games/baltimore-defense.php
40,Los Angeles Rams,DST,LAR,https://www.fantasypros.com/nfl/games/los-angeles-defense.php
46,Cleveland Browns,DST,CLE,https://www.fantasypros.com/nfl/games/cleveland-defense.php
51,Chicago Bears,DST,CHI,https://www.fantasypros.com/nfl/games/chicago-defense.php
60,Washington Redskins,DST,WAS,https://www.fantasypros.com/nfl/games/washington-defense.php
70,Carolina Panthers,DST,CAR,https://www.fantasypros.com/nfl/games/carolina-defense.php
71,Denver Broncos,DST,DEN,https://www.fantasypros.com/nfl/games/denver-defense.php
74,Cincinnati Bengals,DST,CIN,https://www.fantasypros.com/nfl/games/cincinnati-defense.php
87,Jacksonville Jaguars,DST,JAC,https://www.fantasypros.com/nfl/games/jacksonville-defense.php
102,Philadelphia Eagles,DST,PHI,https://www.fantasypros.com/nfl/games/philadelphia-defense.php
116,Pittsburgh Steelers,DST,PIT,https://www.fantasypros.com/nfl/games/pittsburgh-defense.php
126,New England Patriots,DST,NE,https://www.fantasypros.com/nfl/games/new-england-defense.php
137,Miami Dolphins,DST,MIA,https://www.fantasypros.com/nfl/games/miami-defense.php
141,Tampa Bay Buccaneers,DST,TB,https://www.fantasypros.com/nfl/games/tampa-bay-defense.php
142,Green Bay Packers,DST,GB,https://www.fantasypros.com/nfl/games/green-bay-defense.php
143,Seattle Seahawks,DST,SEA,https://www.fantasypros.com/nfl/games/seattle-defense.php
158,Dallas Cowboys,DST,DAL,https://www.fantasypros.com/nfl/games/dallas-defense.php
161,Detroit Lions,DST,DET,https://www.fantasypros.com/nfl/games/detroit-defense.php
162,Houston Texans,DST,HOU,https://www.fantasypros.com/nfl/games/houston-defense.php
164,San Francisco 49ers,DST,SF,https://www.fantasypros.com/nfl/games/san-francisco-defense.php
180,Atlanta Falcons,DST,ATL,https://www.fantasypros.com/nfl/games/atlanta-defense.php
181,Arizona Cardinals,DST,ARI,https://www.fantasypros.com/nfl/games/arizona-defense.php
183,Tennessee Titans,DST,TEN,https://www.fantasypros.com/nfl/games/tennessee-defense.php
184,Indianapolis Colts,DST,IND,https://www.fantasypros.com/nfl/games/indianapolis-defense.php
205,New York Giants,DST,NYG,https://www.fantasypros.com/nfl/games/new-york-giants-defense.php
254,Kansas City Chiefs,DST,KC,https://www.fantasypros.com/nfl/games/kansas-city-defense.php
297,Oakland Raiders,DST,OAK,https://www.fantasypros.com/nfl/games/oakland-defense.php
371,Buffalo Bills,DST,BUF,https://www.fantasypros.com/nfl/games/buffalo-defense.php
418,Los Angeles Chargers,DST,LAC,https://www.fantasypros.com/nfl/games/san-diego-defense.php
419,New Orleans Saints,DST,NO,https://www.fantasypros.com/nfl/games/new-orleans-defense.php
