,name,pos,team,url
0,Ryan Fitzpatrick,QB,TB,https://www.fantasypros.com/nfl/games/ryan-fitzpatrick.php
1,Alvin Kamara,RB,NO,https://www.fantasypros.com/nfl/games/alvin-kamara.php
2,Drew Brees,QB,NO,https://www.fantasypros.com/nfl/games/drew-brees.php
3,Tyreek Hill,WR,KC,https://www.fantasypros.com/nfl/games/tyreek-hill.php
4,James Conner,RB,PIT,https://www.fantasypros.com/nfl/games/james-conner.php
5,Philip Rivers,QB,LAC,https://www.fantasypros.com/nfl/games/philip-rivers.php
6,Patrick Mahomes,QB,KC,https://www.fantasypros.com/nfl/games/patrick-mahomes.php
7,DeSean Jackson,WR,TB,https://www.fantasypros.com/nfl/games/desean-jackson.php
8,Aaron Rodgers,QB,GB,https://www.fantasypros.com/nfl/games/aaron-rodgers.php
9,Tyrod Taylor,QB,CLE,https://www.fantasypros.com/nfl/games/tyrod-taylor.php
10,Kenny Stills,WR,MIA,https://www.fantasypros.com/nfl/games/kenny-stills.php
11,Isaiah Crowell,RB,NYJ,https://www.fantasypros.com/nfl/games/isaiah-crowell.php
12,Michael Thomas,WR,NO,https://www.fantasypros.com/nfl/games/michael-thomas-wr.php
13,Joe Flacco,QB,BAL,https://www.fantasypros.com/nfl/games/joe-flacco.php
14,Tom Brady,QB,NE,https://www.fantasypros.com/nfl/games/tom-brady.php
15,Joe Mixon,RB,CIN,https://www.fantasypros.com/nfl/games/joe-mixon.php
16,Todd Gurley,RB,LAR,https://www.fantasypros.com/nfl/games/todd-gurley.php
17,Mike Evans,WR,TB,https://www.fantasypros.com/nfl/games/mike-evans.php
18,Adrian Peterson,RB,WAS,https://www.fantasypros.com/nfl/games/adrian-peterson-min.php
19,Russell Wilson,QB,SEA,https://www.fantasypros.com/nfl/games/russell-wilson.php
20,Kirk Cousins,QB,MIN,https://www.fantasypros.com/nfl/games/kirk-cousins.php
21,Randall Cobb,WR,GB,https://www.fantasypros.com/nfl/games/randall-cobb.php
22,Jay Ajayi,RB,PHI,https://www.fantasypros.com/nfl/games/jay-ajayi.php
24,Alex Smith,QB,WAS,https://www.fantasypros.com/nfl/games/alex-smith.php
25,Emmanuel Sanders,WR,DEN,https://www.fantasypros.com/nfl/games/emmanuel-sanders.php
26,Andrew Luck,QB,IND,https://www.fantasypros.com/nfl/games/andrew-luck.php
27,Case Keenum,QB,DEN,https://www.fantasypros.com/nfl/games/case-keenum.php
28,Chris Thompson,RB,WAS,https://www.fantasypros.com/nfl/games/chris-thompson.php
29,Saquon Barkley,RB,NYG,https://www.fantasypros.com/nfl/games/saquon-barkley.php
30,Austin Ekeler,RB,LAC,https://www.fantasypros.com/nfl/games/austin-ekeler.php
31,Melvin Gordon,RB,LAC,https://www.fantasypros.com/nfl/games/melvin-gordon.php
32,Cam Newton,QB,CAR,https://www.fantasypros.com/nfl/games/cam-newton.php
33,Jared Cook,TE,OAK,https://www.fantasypros.com/nfl/games/jared-cook.php
34,Julio Jones,WR,ATL,https://www.fantasypros.com/nfl/games/julio-jones.php
36,Jared Goff,QB,LAR,https://www.fantasypros.com/nfl/games/jared-goff.php
38,Greg Zuerlein,K,LAR,https://www.fantasypros.com/nfl/games/greg-zuerlein.php
39,Dion Lewis,RB,TEN,https://www.fantasypros.com/nfl/games/dion-lewis.php
41,Keenan Allen,WR,LAC,https://www.fantasypros.com/nfl/games/keenan-allen.php
42,Andy Dalton,QB,CIN,https://www.fantasypros.com/nfl/games/andy-dalton.php
